regulon	threshold
black	0.313763607098417
blue	0.98418369775528
brown	0.302975942574776
cyan	0.192380073335938
green	0.459460819046757
greenyellow	0.110759671773168
grey60	0.425744548446904
lightcyan	0.526610139784237
lightgreen	0.307389606150313
lightyellow	0.215905033122309
magenta	0.354253291291543
midnightblue	0.236517245094366
pink	0.507392347321683
purple	0.253210738714054
red	0.38882112023567
royalblue	0.222940823654458
salmon	0.429249365238379
tan	0.393467917399213
turquoise	0.609448340293333
yellow	0.125775261422091
